indexk,qx,qy,g2EPW,g2W90,g2W90long,g2W90tran,susRe,susIm,d2EPW,d2W90,d2W90long,d2W90tran
1338,-0.8219,-1.2907,4.56893620088463e7,45202.63106343779,30252.106358328227,14950.524705109567,-21189.67663924382,16267.367659294088,-8.042413034161732e7,-86137.40624395048,-56706.748640738995,-29430.657603211876
1339,-0.8055,-1.2812,4.351521776091224e7,42406.22801515804,28333.546806429058,14072.681208729213,-20964.639076906915,16776.0884841137,-7.490908447394316e7,-80210.99780371344,-54678.79479522527,-25532.203008487966
1340,-0.789,-1.2717,4.15891623879677e7,39586.66532465588,26376.69431987131,13209.971004784666,-20779.42929527744,18430.6063767685,-6.996574158954091e7,-74899.85068725905,-52514.99973865402,-22384.850948605108
1341,-0.7726,-1.2622,3.98519852187413e7,36768.55980211196,24402.006121269394,12366.553680842375,-20596.785337606932,20993.97633499887,-6.54442981722846e7,-69756.00829581308,-49888.41081728468,-19867.5974785284
1342,-0.7561,-1.2527,1.4290765315890212e7,33978.29479894876,22429.735421717134,11548.559377231899,-20312.234504458676,24319.11012549298,-2.2880390078002803e7,-63709.52670737837,-45858.56022632115,-17850.966481057323
1343,-0.7397,-1.2433,81492.50147241459,31243.162624780158,20480.730862624227,10762.431762155917,-19857.316280500323,26984.44572343413,-126979.34515313565,-56149.37302381701,-39909.21646918376,-16240.15655463307
1344,-0.7233,-1.2338,18082.09885885904,28590.8337030634,18575.296038014476,10015.537665048863,-19309.276406788296,29150.844735413924,-27431.210742482177,-47639.613731677186,-32676.285798494577,-14963.327933183413
1345,-0.7068,-1.2243,6667.114408810558,26049.2397253937,16733.248847108287,9315.99087828533,-18706.073750975745,31311.605572365206,-9861.314334926941,-39590.49277994026,-25640.878202239644,-13949.614577700191
1346,-0.6904,-1.2148,2916.7292538855972,23646.702191345325,14974.021009351232,8672.68118199399,-18381.1128126515,31266.469522800104,-4227.442097954887,-32871.397585545885,-19744.02829006115,-13127.369295484927
1347,-0.674,-1.2053,1346.9452948503872,21412.010742144845,13316.424165346498,8095.586576798398,-18068.725680068077,30830.38820868607,-1920.9134575700782,-27560.7858742565,-15124.670187452864,-12436.115686803658
1348,-0.6575,-1.1958,625.0783352092635,19374.1980448261,11778.778307631192,7595.4197371949795,-17834.35298941924,33693.713178317055,-881.6986557916762,-23480.697171589793,-11654.194720267114,-11826.502451322474
1349,-0.6411,-1.1863,299.0839424950994,17561.91494421583,10378.19802069186,7183.716923524004,-17658.974907983833,39352.024442272945,-418.9305110644498,-20412.39743844721,-9151.523512420306,-11260.873926026921
