"indexk","kx","ky","band"
352,-0.4016,-0.7296,-0.067
353,-0.4016,-0.684,-0.0437
354,-0.4016,-0.6384,-0.0285
355,-0.4016,-0.5928,-0.0207
356,-0.4016,-0.5472,-0.0194
357,-0.4016,-0.5016,-0.0232
358,-0.4016,-0.456,-0.0309
359,-0.4016,-0.4104,-0.0407
360,-0.4016,-0.3648,-0.0508
361,-0.4016,-0.3192,-0.0586
362,-0.4016,-0.2736,-0.0599
363,-0.4016,-0.228,-0.0451
364,-0.4016,-0.1824,0.0082
365,-0.4016,-0.1368,0.1205
366,-0.4016,-0.0912,0.2579
367,-0.4016,-0.0456,0.3655
368,-0.4016,0.,0.4061
369,-0.4016,0.0456,0.3655
370,-0.4016,0.0912,0.2579
371,-0.4016,0.1368,0.1205
372,-0.4016,0.1824,0.0082
373,-0.4016,0.228,-0.0451
374,-0.4016,0.2736,-0.0599
375,-0.4016,0.3192,-0.0586
376,-0.4016,0.3648,-0.0508
377,-0.4016,0.4104,-0.0407
378,-0.4016,0.456,-0.0309
379,-0.4016,0.5016,-0.0232
380,-0.4016,0.5472,-0.0194
381,-0.4016,0.5928,-0.0207
382,-0.4016,0.6384,-0.0285
383,-0.4016,0.684,-0.0437
384,-0.4016,0.7296,-0.067
385,-0.4016,0.7752,-0.0984
386,-0.3442,-0.7752,0.3675
387,-0.3442,-0.7296,0.399
388,-0.3442,-0.684,0.4216
389,-0.3442,-0.6384,0.4355
390,-0.3442,-0.5928,0.4414
391,-0.3442,-0.5472,0.4401
392,-0.3442,-0.5016,0.4329
393,-0.3442,-0.456,0.421
394,-0.3442,-0.4104,0.4058
395,-0.3442,-0.3648,0.3886
396,-0.3442,-0.3192,0.3707
397,-0.3442,-0.2736,0.3532
398,-0.3442,-0.228,0.3371
399,-0.3442,-0.1824,0.3235
400,-0.3442,-0.1368,0.3134
401,-0.3442,-0.0912,0.3099
402,-0.3442,-0.0456,0.3238
403,-0.3442,0.,0.344
404,-0.3442,0.0456,0.3238
405,-0.3442,0.0912,0.3099
406,-0.3442,0.1368,0.3134
407,-0.3442,0.1824,0.3235
408,-0.3442,0.228,0.3371
409,-0.3442,0.2736,0.3532
410,-0.3442,0.3192,0.3707
411,-0.3442,0.3648,0.3886
412,-0.3442,0.4104,0.4058
413,-0.3442,0.456,0.421
414,-0.3442,0.5016,0.4329
415,-0.3442,0.5472,0.4401
416,-0.3442,0.5928,0.4414
417,-0.3442,0.6384,0.4355
418,-0.3442,0.684,0.4216
419,-0.3442,0.7296,0.399
420,-0.3442,0.7752,0.3675
421,-0.2868,-0.7752,0.8735
422,-0.2868,-0.7296,0.9058
423,-0.2868,-0.684,0.9288
424,-0.2868,-0.6384,0.9428
425,-0.2868,-0.5928,0.9484
426,-0.2868,-0.5472,0.9467
427,-0.2868,-0.5016,0.9386
428,-0.2868,-0.456,0.9257
429,-0.2868,-0.4104,0.9092
430,-0.2868,-0.3648,0.8905
431,-0.2868,-0.3192,0.8709
432,-0.2868,-0.2736,0.8514
433,-0.2868,-0.228,0.8329
434,-0.2868,-0.1824,0.8161
435,-0.2868,-0.1368,0.8015
436,-0.2868,-0.0912,0.7894
437,-0.2868,-0.0456,0.7805
438,-0.2868,0.,0.777
439,-0.2868,0.0456,0.7805
440,-0.2868,0.0912,0.7894
441,-0.2868,0.1368,0.8015
442,-0.2868,0.1824,0.8161
443,-0.2868,0.228,0.8329
444,-0.2868,0.2736,0.8514
445,-0.2868,0.3192,0.8709
446,-0.2868,0.3648,0.8905
