indexk,kx,ky,g2EPW,g2W90,susRe,susIm,d2EPW,d2W90
3277,0.0329,-0.4745,1.4351474504697654e7,91085.59972801611,-53852.68562380224,157883.897140388,-5.087411946505707e7,-400856.64636089973
3278,0.0493,-0.465,1.4455606914767161e7,90780.3964397093,-44644.8825754739,42442.03433798462,-4.194983672320629e7,-324927.85030419973
3279,0.0658,-0.4555,1.4527813353155175e7,89895.344678614,-37915.84763262197,10160.609386479298,-3.617270809392689e7,-270217.1404458509
3280,0.0822,-0.4461,1.458692163704002e7,88572.01985524641,-33391.249169338276,2577.5974988525027,-3.23294891959768e7,-232823.96445818583
3281,0.0986,-0.4366,1.4685126974041432e7,86960.15471843486,-30211.542537840374,728.3268007984422,-2.957637881485194e7,-205796.9340013366
3282,0.1151,-0.4271,1.4868365237407802e7,85212.30398342425,-27941.69094180591,238.60543965510357,-2.7496036006980553e7,-185807.5825232045
3283,0.1315,-0.4176,1.5145080565967578e7,83475.2264021589,-26269.19999731064,90.50591168361461,-2.5765833930274323e7,-170605.56912971078
3284,0.1479,-0.4081,1.5480409956552755e7,81880.06374273065,-25030.18056828107,40.04448163524205,-2.426540781619629e7,-159059.65357679763
3285,0.1644,-0.3986,1.5814865311262926e7,80534.37171007993,-24148.16580445288,21.145854253710354,-2.3012854997300774e7,-150645.3081306512
3286,0.1808,-0.3891,1.6091266948177136e7,79518.29094316075,-23552.12896946832,13.328624309250035,-2.2047309885097988e7,-144877.50384253656
3287,0.1973,-0.3796,1.6271777579743845e7,78885.19903015482,-23209.125663485018,10.104194953333604,-2.144514932117772e7,-141522.7054402488
3288,0.2137,-0.3701,1.6338346116516968e7,78665.19352631232,-23095.65041083133,9.213811581209889,-2.127284129262123e7,-140415.3383841938
3289,0.2301,-0.3606,1.6284338675914917e7,78868.71589313055,-23204.307388917565,10.1046159771919,-2.1538964311810885e7,-141504.47475175012
3290,0.2466,-0.3511,1.6110622834973184e7,79487.95655328243,-23542.13245952942,13.32951327129151,-2.2214501880666245e7,-144844.21435647082
3291,0.263,-0.3417,1.5831997089393212e7,80495.12502378524,-24131.96522136526,21.148886535644458,-2.3215636692539833e7,-150601.12347646483
3292,0.2794,-0.3322,1.5486799751124144e7,81838.54088776132,-25006.16201007681,40.047428449443586,-2.4455490453166332e7,-159009.87282800034
3293,0.2959,-0.3227,1.5135876777387371e7,83438.9519774083,-26234.56207151536,90.50803532699105,-2.5888801324792266e7,-170552.32843468344
3294,0.3123,-0.3132,1.4843597002079636e7,85188.81395164366,-27891.618841979296,238.54337406341085,-2.7495001034283627e7,-185744.39096446658
3295,0.3288,-0.3037,1.4648787651610032e7,86956.20259357092,-30137.89953788028,727.2570460828123,-2.939010804481702e7,-205700.44726326555
3296,0.3452,-0.2942,1.4544892159249408e7,88592.9950968262,-33282.364092798714,2560.751360572911,-3.190950264074039e7,-232653.5754883565
3297,0.3616,-0.2847,1.4486004486670729e7,89944.9640194547,-37774.84598300476,9955.209840451358,-3.555286186428821e7,-270050.16346969496
3298,0.3781,-0.2752,1.4419166291283881e7,90860.63290775225,-44521.72081832876,41436.231527780474,-4.137090805405118e7,-325259.0060264903
3299,0.3945,-0.2657,1.4324890165633624e7,91196.7463827967,-53747.71032913902,156553.0828718901,-5.034425069036695e7,-401893.34001134563
3300,0.4109,-0.2562,1.42411027363593e7,90820.63677020848,-58609.12569615967,317923.0250658543,-5.765529626020463e7,-449457.66152947437
3301,0.4274,-0.2468,1.4255969428909209e7,89612.41240166417,-49391.25880506626,195352.16042760218,-5.2996732313060306e7,-385860.00353477476
